# x0 y0 z0 v0x v0y v0z Cj E_SOI h_min_periluneo h_perigeo
1.036798743401617706e+00 -9.606832992708154439e-02 0.000000000000000000e+00 1.965931214995645937e-01 3.828446661749843605e-01 0.000000000000000000e+00 3.000000000000005329e+00 5.727311109309931453e-02 1.312124941699363035e+03 3.746778995352960774e+05
9.037405811316167048e-01 -2.411783991726869358e-02 0.000000000000000000e+00 -1.034497724043567324e+00 2.850609430355524609e-01 0.000000000000000000e+00 2.100000000000004974e+00 2.803816196557937929e-02 1.114427885046160191e+04 5.185487530347250868e+03
1.017739099714507489e+00 -3.825696299419648755e-02 0.000000000000000000e+00 1.476302736175305386e+00 -1.369442649734386341e+00 0.000000000000000000e+00 -5.999999999999978684e-01 9.028390192924368174e-02 8.161479076497840879e+02 2.064028869341219252e+05
1.061284508214129563e+00 -3.741701351073016546e-02 0.000000000000000000e+00 7.267799540772276190e-01 1.838161424704760905e-01 0.000000000000000000e+00 2.700000000000004619e+00 5.736199216763693265e-02 1.719163824468805615e+04 2.492424923722471067e+04
9.912105210234081198e-01 -1.254355939486414412e-02 0.000000000000000000e+00 1.825707885925653473e+00 -1.670237026404072012e+00 0.000000000000000000e+00 -1.299999999999998490e+00 3.667998060667076454e-01 5.925900834969997959e+02 2.669489499435286270e+05
9.909000290549586643e-01 -3.486788480558175585e-02 0.000000000000000000e+00 7.400934172185311688e-01 4.451466929835560804e-01 0.000000000000000000e+00 2.900000000000005684e+00 4.282094338239069570e-02 6.602122599821343840e+01 2.820739936938110041e+05
1.055490528849199361e+00 -3.749404318051445528e-02 0.000000000000000000e+00 1.371088711350110678e+00 -6.318140247446388802e-01 0.000000000000000000e+00 1.000000000000003553e+00 5.047396411164184471e-02 5.217457084640318499e+02 2.540962721348087871e+04
9.960488661554823819e-01 -2.523510220279960581e-02 0.000000000000000000e+00 9.590247459708398647e-01 3.845682389520568289e-01 0.000000000000000000e+00 2.800000000000005151e+00 1.730789355262137286e-01 8.425613825932603504e+03 1.976813457053669845e+05
1.034302815256605834e+00 -6.393752471833387407e-02 0.000000000000000000e+00 1.353967752959740256e+00 -1.460345698675106219e+00 0.000000000000000000e+00 -6.999999999999979572e-01 5.388978408024021338e-02 2.128350359607256905e+03 2.481011719047704828e+05
1.130212560135502420e+00 -5.751841618230896930e-02 0.000000000000000000e+00 3.681298572069481856e-01 1.753094606842063308e-01 0.000000000000000000e+00 3.000000000000005329e+00 4.357973983915538335e-02 7.358731432400394624e+03 3.045541377723863116e+05
9.062364384263795758e-01 -2.034841776187808898e-02 0.000000000000000000e+00 -1.154673642987311677e+00 1.675249800070027495e-01 0.000000000000000000e+00 1.900000000000003908e+00 4.531753132916032517e-02 6.015185673515765302e+03 2.626857398228818056e+04
